"SECTOR","ndvi","elevation","ambnt_nm_x","ambnt_nm_y","AVE_PERI","AVE_INTRA","CUY_PERI","CUY_INTRA","PER_PER","PER_INT","GAT_PER","GAT_INT","AVE_INTRA_","CUY_INTRA_","AVE_PERI_","CUY_PERI_","n_femal","n_male","fumigad","rastros","cap_ttl","pos_ttl","INF","POS","ADOB","ADOB_RE","CARR","TEJ","TEL","PLAS","NOBL","LADR_NO","CALAM","n_people"
"PUSHUN",0.1973,1834.79,"DORMITORIO_DEPOSITO_COCINA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,1,"0","0","0","0",0,1,"NO","0",0,0,0,0,"1","0","0","1","0","0","1","0","1",1
"PUSHUN",0.7524,1836.15,"COCINA","PATIO",15,0,0,30,2,0,1,0,"0","1","1","0",0,0,"SI","0",1,0,1,0,"1","0","0","0","0","0","1","0","1",0
"PUSHUN",0.4956,1879.1,"NO_ANIMAL_INTRA","PATIO",14,0,20,0,0,0,1,0,"0","0","1","1",3,1,"SI","0",0,0,0,0,"1","0","1","1","0","0","1","0","1",4
"HUABAMAYO",0.5026,1961.37,"COCINA","PATIO",25,0,0,30,2,0,4,0,"0","1","1","0",0,0,"SI","1",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"HUABAMAYO",0.5026,1953.67,"COCINA","PATIO",8,0,0,10,0,0,1,0,"0","1","1","0",2,1,"SI","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",3
"TAYA",0.6836,1826.71,"COCINA","PATIO",0,0,0,15,3,0,2,0,"0","1","0","0",1,5,"SI","0",0,0,0,0,"1","0","1","1","0","1","1","0","1",6
"HUABAMAYO",0.4956,1942.61,"COCINA","PATIO",15,0,0,15,2,0,1,0,"0","1","1","0",1,3,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",4
"HUABAMAYO",0.5026,2001.28,"COCINA","PATIO",20,0,0,15,3,0,3,0,"0","1","1","0",2,1,"SI","1",8,0,1,0,"1","0","0","0","0","1","1","0","1",3
"HUABAMAYO",0.4956,1949.79,"COCINA","PATIO",49,0,0,30,1,0,5,0,"0","1","1","0",1,2,"NO","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",3
"HUABAMAYO",0.5844,2004.96,"DORMITORIO","NO_ANIMAL_PERI",0,0,0,0,0,0,0,1,"0","0","0","0",0,0,"SI","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"TAYA",0.0775,1903,"COCINA","PATIO",15,0,0,25,4,0,1,0,"0","1","1","0",1,2,"NO","0",7,1,1,1,"1","0","0","0","0","1","1","0","1",3
"TAYA",0.3787,1879.83,"COCINA","PATIO",10,0,30,10,0,0,0,0,"0","1","1","1",3,4,"SI","1",12,0,1,0,"1","0","1","1","1","1","0","0","1",7
"HUABAMAYO",0.5844,2021.16,"DEPOSITO","PATIO",30,0,0,11,1,0,4,0,"0","1","1","0",4,2,"SI","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",6
"HUABAMAYO",0.2887,1974.8,"COCINA","NO_ANIMAL_PERI",0,0,0,7,0,0,0,0,"0","1","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
"TAYA",0.0682,1846.49,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",0
"TAYA",0.0682,1870.2,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",0
